accuracy,kappa
0.0,0.0
0.967,0.9338592524892971
0.9735,0.9466308992995558
0.976,0.9517242489097726
0.97825,0.9562794956362413
0.978,0.9557540349102273
0.979,0.9577049875889874
0.9795714285714285,0.9588623216839867
0.980375,0.9604659627677502
0.9807777777777777,0.9612981625351895
0.9819,0.9635646274936087
0.9822727272727273,0.9642747480728517
0.9830833333333333,0.9659108961202569
0.9839230769230769,0.9676213224400514
0.9847142857142858,0.9692135013470533
0.9851333333333333,0.9700689782542402
0.9855625,0.9709316363365242
0.9858235294117647,0.9714690827643676
0.9861111111111112,0.9720488213919688
0.986578947368421,0.9729906938139423
0.987,0.9738304116464169
0.9874285714285714,0.974692068574634
0.9876818181818182,0.9751929061531247
0.988,0.9758343379454851
0.9881666666666666,0.976172416394966
0.98832,0.9764805616900658
0.9885384615384616,0.9769263408273688
0.9888518518518519,0.9775601576637073
0.9891428571428571,0.9781490361725198
0.989448275862069,0.9787659210845723
0.9897333333333334,0.9793413410498701
0.9899032258064516,0.9796816338387092
0.99,0.9798777017015163
0.9900606060606061,0.9799934879024925
0.9901470588235294,0.9801626672432578
0.9902571428571428,0.9803833248550726
0.9904444444444445,0.9807638267489955
0.9905945945945946,0.9810633054023953
0.9906052631578948,0.9810887157479297
0.9907435897435898,0.981366410797492
0.990825,0.9815286724704718
0.991,0.9818781540983554
0.9910714285714286,0.9820204124825599
0.991139534883721,0.9821608841682113
0.9912727272727273,0.9824306368697812
0.9913333333333333,0.9825532021361704
0.9913913043478261,0.9826721380399124
0.9915106382978723,0.9829164380629245
0.9915833333333334,0.9830656749679552
0.9916734693877551,0.9832435550414619
0.99172,0.9833382677013291
0.9917843137254901,0.9834685573725073
0.9918653846153846,0.9836297982623444
0.9919245283018868,0.9837485062922147
0.992,0.9839011754108756
0.9920545454545454,0.9840100853750339
0.9921785714285715,0.9842590445804805
0.9922280701754386,0.9843582259457291
0.9921724137931035,0.9842460401800978
0.9922372881355932,0.9843758110194036
0.9923166666666666,0.9845349344134954
0.9924098360655738,0.9847224579904323
0.9924677419354838,0.9848411105245991
0.9925238095238095,0.9849547387249143
0.9925625,0.9850327325256779
0.9926461538461538,0.9852008093651161
0.9926969696969697,0.9853028142510567
0.9927611940298507,0.9854326060794173
0.9927941176470588,0.9854983740874517
0.9928405797101449,0.9855928274445555
0.9928428571428571,0.9855969982616599
0.9929014084507042,0.9857146831331605
0.9929027777777778,0.9857184852595064
0.9929315068493151,0.9857766960783381
0.9929729729729729,0.9858606708981729
0.9929733333333334,0.9858590433563299
0.9930131578947369,0.9859380320474467
0.9930519480519481,0.9860157899671931
0.9931153846153846,0.9861433368566958
0.9931392405063291,0.9861908050554697
0.993175,0.9862635962345832
0.9931851851851852,0.9862838632288464
0.9932560975609757,0.9864266521858748
0.993277108433735,0.9864692629614189
0.99325,0.9864148160447491
0.9932705882352941,0.9864543670706004
0.9932558139534884,0.9864257477683406
0.9932988505747127,0.9865128277231827
0.9933636363636363,0.986642060381215
0.9933595505617977,0.9866341006860647
0.9934111111111111,0.9867382997072524
0.9934175824175824,0.9867516418997966
0.9934565217391305,0.9868297471998939
0.993494623655914,0.9869060418250026
0.993531914893617,0.9869816497569948
0.9935578947368421,0.9870338407438969
0.99359375,0.9871066189138811
0.9936391752577319,0.9871981099831951
0.9936734693877551,0.9872657209545532
0.9936969696969697,0.9873119849140783
0.99373,0.98737710848069
0.9937524752475247,0.987422904244261
0.9937941176470588,0.987506352098695
0.9938155339805825,0.9875498387388076
0.9938269230769231,0.9875721384195285
0.9938285714285714,0.9875767091240811
0.9938490566037735,0.9876185223229871
0.9938504672897196,0.9876209543102076
0.9938981481481481,0.9877166669359018
0.9939357798165137,0.987792937983406
0.9939636363636364,0.98784892759333
0.994009009009009,0.9879395799670141
0.9940267857142857,0.9879762468638581
0.9940530973451327,0.9880290943667578
0.9940701754385964,0.9880641843302197
0.9941130434782609,0.9881510810363158
0.9941379310344828,0.9882011178763513
0.9941452991452991,0.9882156669429788
0.9941694915254238,0.9882641490381349
0.9941932773109243,0.9883118498825937
0.9942,0.9883259903980667
0.9942148760330578,0.9883566335891392
0.9942213114754098,0.9883698939372187
0.9942357723577235,0.9883986234113339
0.9942661290322581,0.9884598287373976
0.994264,0.9884561787756921
0.9942619047619048,0.9884519159884594
0.9942834645669292,0.9884949880063976
0.9942734375,0.9884753229281975
0.9943100775193798,0.9885490575220923
0.9943307692307692,0.9885906132034654
0.9943435114503817,0.9886157712652809
0.9943484848484848,0.9886249014097764
0.9943383458646616,0.9886043642444142
0.9943208955223881,0.988569891952729
0.9943185185185185,0.9885646095241517
0.9943529411764706,0.9886340621246593
0.9943649635036497,0.988657722327489
0.9943405797101449,0.9886080158376488
0.9943525179856115,0.9886322332320667
0.9943571428571428,0.9886412940789204
0.9943262411347518,0.9885789105861184
0.9943239436619719,0.9885741077766078
0.9943216783216783,0.9885691636971614
0.9943472222222223,0.9886206180015655
0.994351724137931,0.988629776635192
0.9943561643835617,0.988638935566023
0.9943469387755102,0.9886203065017901
0.9943581081081081,0.9886427958318623
0.9943691275167785,0.9886651059860783
0.9943866666666666,0.9886996715547458
0.9944105960264901,0.9887481680534963
0.9944276315789473,0.9887823364200309
0.9944379084967321,0.988802865713452
0.994448051948052,0.9888237418071552
0.9944838709677419,0.9888958519924356
0.9944871794871795,0.9889025056809579
0.9944968152866243,0.9889224784510652
0.9945,0.9889291963265385
0.9944968553459119,0.9889227321408433
0.9945,0.9889287832339448
0.9944844720496895,0.9888969482589901
0.9945123456790124,0.9889536055418165
0.994521472392638,0.9889721108731964
0.9945365853658537,0.9890030845306154
0.9945575757575758,0.9890448199157176
0.9945843373493976,0.9890982765816575
0.9945748502994012,0.98907932047857
0.9945833333333334,0.9890968604841098
0.9945857988165681,0.9891022072348239
0.9946117647058823,0.989154500512522
0.9946081871345029,0.9891472363322089
0.9946046511627907,0.9891402381740219
0.9946184971098266,0.9891679338446012
0.9946379310344827,0.9892072086225152
0.9946571428571429,0.9892453620154563
0.9946590909090909,0.9892496083124939
0.9946553672316384,0.9892422091714148
0.9946685393258426,0.9892684392831501
0.9946871508379889,0.9893057861330316
0.9947,0.9893318322241349
0.9946961325966851,0.9893241603150202
0.9946868131868132,0.989305447637598
0.9946721311475409,0.9892760254229329
0.9947010869565217,0.9893341380227186
0.9947135135135136,0.9893591955033317
0.9947096774193548,0.989351858469598
0.994716577540107,0.9893657247162116
0.9947074468085106,0.9893476251598606
0.9947089947089947,0.9893504014925683
0.9947,0.9893319611346755
0.994717277486911,0.9893670403170542
0.9947083333333333,0.9893491327906146
0.9947046632124352,0.9893422900444093
0.9947113402061856,0.9893558275167377
0.9947230769230769,0.9893791732397836
0.9947295918367347,0.9893921945425709
0.994746192893401,0.9894252249103661
0.9947474747474747,0.9894275709537371
0.9947537688442211,0.9894405452501596
0.99476,0.9894529654701272
0.9947711442786069,0.9894749817037285
0.9947772277227723,0.989487293584529
0.9947931034482759,0.9895195304693383
0.9947892156862745,0.9895117196512414
0.994780487804878,0.9894939937548338
0.9947815533980583,0.9894961949819521
0.9947874396135266,0.9895082362035453
0.9947980769230769,0.9895293452916675
0.9947751196172249,0.9894826813206191
0.9947904761904762,0.989513562132141
0.9948009478672986,0.9895348582531903
0.994816037735849,0.9895649948752366
0.9948262910798122,0.9895861157995345
0.9948364485981308,0.9896066934329585
0.9948325581395349,0.9895992026518369
0.994837962962963,0.9896101089950128
0.9948387096774194,0.9896114323281303
0.9948440366972477,0.989622213401452
0.9948493150684932,0.9896326374405897
0.9948545454545454,0.98964325442987
0.9948597285067873,0.9896541499767333
0.9948648648648649,0.9896641109856217
0.994847533632287,0.9896290683481248
0.9948571428571429,0.989648341254564
0.9948577777777777,0.9896499797572568
0.9948628318584071,0.9896602373116494
0.994863436123348,0.9896615162717561
0.9948771929824561,0.9896892016116127
